Pattern,Name,Location,Links,Notes
Pattern 3,"Open data
dashboards
tracking school &
civic performance",California,"https://www.caschooldashboard.org/ •
https://www.cde.ca.gov/ta/ac/cm/","School dashboards as
transparent performance
tools."
Pattern 3,"Rural
public‐health
coalition
shared‐trust
pledge",Montana,"https://mthf.org/ • https://
www.mthcc.org/ • https://
dphhs.mt.gov/News/2025/June/BHSFG","Coalition/partnership
infrastructure; statewide
investments in local trust."
Pattern 4,Mountain Time Exchange,Appalachia,https://hourworld.org/ (directory of active timebanks),Regional timebank directories & tools (representative).
Pattern 4,Santa Fe Time Bank,"Santa Fe, NM","https://www.facebook.com/
SantaFeTimeBank/ • https://
m.facebook.com/SantaFeTimeBank/about/",Local timebank presence & activity stream.
Pattern 4,Port Townsend Time Bank,"Port Townsend, WA","https://hourworld.org/_Directory.htm?
page=20&sortID=14&terms=",Timebank serving Jefferson/Clallam (regional listing).
Pattern 4,Echo (Economy of Hours),"London, UK","https://www.economyofhours.com/ • https://

www.economyofhours.com/news/echo-is-
evolving-read-all-about-it-here • https://

www.pentagram.com/work/echo",Large‐scale timebank with institutional partners.
Pattern 4,Hour Exchange Portland,"Portland, ME","https://www.hourexchangeportland.org/ •
https://www.facebook.com/hourexchange/ •
https://www.transitsocialinnovation.eu/sii/
timebanks-4",Long‐running U.S. timebank.
Pattern 4,TimeBanks USA / hOurworld (software & network),U.S./ International,"https://www.timebanks.org/ • https://
hourworld.org/ • https://hourworld.org/
_TimeAndTalents.htm",Platforms & directories enabling local timebanks.
Pattern 5,"“Huajatolla”
place‐name pride
(tees, events)","Walsenburg / La
Veta, CO
(Huerfano
County)","https://www.facebook.com/
huajatollaheritagefoundation/ • https://

worldjournalnewspaper.com/huajatolla-
heritage-5k/ • https://destinationiq.com/

wp-content/uploads/2025/01/SPC-
visitors-guide-2022.pdf","Indigenous
place‐name
pride & cultural
festivals."
Pattern 5,"Monthly
neighborhood
storytelling /
“light‐up” nights",,"https://www.hazelwoodlocal.com/ •

https://riversofsteel.com/hazelwoods-
community-artworks/ • https://

www.betterblock.org/hazelwood","Regular,
hyperlocal arts/
story
activations."
Pattern 5,"Youth‐designed
pride posters","Raton, NM","https://www.briannagardocki.com/

projects/new-mexico-united-pride-night-
poster","Example of
youth/artist
poster‐led
pride
campaigns in
NM (regional
analog)."
Pattern 5,"Corazón de
Trinidad
Creative District","Trinidad, CO","https://
www.trinidadcreativedistrict.org/ •
https://
www.trinidadcreativedistrict.org/2024-
get-lit-literary-festival-trinidad • https://

oedit.colorado.gov/colorado-creative-
districts","Certified creative
district & seasonal
story campaigns."
Pattern 5,"Branded
neighborhood
banners &
seasonal story
campaigns","Winters, CA","https://www.cityofwinters.org/ • https://
winterstractorparade.com/","Downtown branding
& recurring events
as pride rituals."
Pattern 5,"“My Boone” /
Branding Boone
identity effort","Boone, NC","https://brandingboone.com/ • https://
brandingboone.com/about/ • https://
destinationbydesign.com/project/
downtown-boone-brand/","Community‐driven
town identity
refresh and roll‐out."
